Kanji,Onyomi (Chinese),Kunyomi (Japan),Meaning
主,しゅ / す,ぬし / おも / あるじ,master
事,じ / ず,こと,abstract thing
乗,じょう,の－る,ride
京,きょう / けい / きん,みやこ,capital
仕,し,つか－える,serve
代,だい / たい,か－わる / よ,substitute
以,い,もっ－て,since
低,てい,ひく－い,low
作,さく / さ,つく－る,make
体,たい / てい,からだ,body
住,じゅう,す－む,dwell
使,し,つか－う,use
便,べん / びん,たよ－り,convenience
借,しゃく,か－りる,borrow
働,どう,はたら－く,work
元,げん / がん,もと,origin
兄,けい / きょう,あに / え,older brother
光,こう,ひかり / ひか－る,light
写,しゃ,うつ－す,copy
冬,とう,ふゆ,winter
切,せつ / さい,きーる,cut
別,べつ,わか－れる,separate
力,りき / りょく,ちから,power
勉,べん,つと－める,diligence
動,どう,うご－く / うご－かす,move
区,く,,ward
医,い,,doctor
去,きょ / こ,さ－る,leave
合,ごう / かっ,あ－う / あ－わす / あ－わせる,fit
台,だい / たい,うてな,base
同,どう,おな－じ,same
味,み,あじ / あじ－わう,flavor
品,ひん / ほん,しな,article
員,いん,,member
問,もん,と－う / とん,question
図,ず / と,はか－る,drawing
地,ち / じ,つち,ground
堂,どう,,public chamber
場,じょう,ば,place
声,せい / しょう,こえ / こわ,voice
売,ばい,う－る,sell
夏,か / げ,なつ,summer
夕,せき,ゆう / ゆうべ,evening
夜,や,よる,night
太,た / たい,ふと－い / はなは－だ,fat
好,こう,す－く / この－む,like
妹,まい,いもうと / いも,younger sister
姉,し,あね,older sister
始,し,はじ－める / はじ－まる,begin
字,じ,あざ / あざな,character
室,しつ,むろ,room
家,か / け,いえ / や,house
寒,かん,さむ－い,cold
屋,おく,や,premise
工,こう / く,たくみ,craft
市,し,いち,city
帰,き,かえ－る / かえ－す,return home
広,こう,ひろ－い / ひろ－める / ひろ－まる,wide
度,ど,たび,degrees
建,けん / こん,た－てる / た－つ,build
引,いん,ひ－く,pull
弟,てい,おとうと,younger brother
弱,じゃく,よわ－い,weak
強,きょう / ごう,つよ－い / あなが－ち,strong
待,たい,ま－つ,wait
心,しん,こころ,heart
思,し,おも－う / おぼ－す,think
急,きゅう,いそ－ぐ,hurry
悪,あく / お,わる－い / にく－む,bad
意,い,,idea
所,しょ,ところ,place
持,じ,も－つ,hold
教,きょう,おし－える,teach
文,ぶん / もん,ふみ / あや,writing
料,りょう,とが / しな,fee
方,ほう,かた,direction
旅,りょ,たび,trip
族,ぞく,やから,tribe
早,そう,はや－い,early
明,めい / みょう,あか－るい / あ－ける / あき－らか / あ－かす / あ－く / あか－らす,bright
映,えい,うつ－る / うつ－す / は－える,reflect
春,しゅん / とう,はる,spring
昼,ちゅう,ひる,daytime
暑,しょ,あつ－い,hot
暗,あん,くら－い,dark
曜,よう,,weekday
有,ゆう / う,あ－る,be
服,ふく,の－む,clothes
朝,ちょう,あさ / あした,morning
村,そん,むら,village
林,りん,はやし,woods
森,しん,もり,forest
業,ぎょう / ごう,わざ,business
楽,らく / がく,たの－しい,pleasure
歌,か,うた / うた－う,song
止,し,と－まる / と－める / とど－まる / とど－める,stop
死,し,し－ぬ,death
民,みん,たみ,people
池,ち,いけ,pond
注,ちゅう,そそ－ぐ,pour
洋,よう,,"ocean, western"
洗,せん,あら－う,wash
海,かい,うみ,sea
漢,かん,,China
牛,ぎゅう / ご,うし,cow
物,ぶつ / もつ,もの,thing
特,とく,とりわ－け,special
犬,けん,いぬ,dog
理,り,ことわり,reason
産,さん,う－む,give birth
用,よう,もち－いる,use
田,でん,た,rice paddy
町,ちょう,まち,town
画,が / かく,えが－く,picture
界,かい,,world
病,びょう / へい,やまい,sick
発,はつ / ほつ,た－つ,departure
県,けん,あがた,prefecture
真,しん,ま / まこと,TRUE
着,ちゃく / じゃく,き－る / つ－く,wear / arrive
知,ち,し－る / し－らす,know
短,たん,みじか－い,short
研,けん,と－ぐ,sharpen
私,し,わたくし / わたし,me
秋,しゅう,あき,autumn
究,きゅう,きわ－める / きわ－まる,research
答,とう,こた－え / こた－える,answer
紙,し,かみ,paper
終,しゅう,お－わる / お－える,end
習,しゅう,なら－う,learn
考,こう,かんが－える,think about
者,しゃ,もの,someone
肉,にく,しし,meat
自,じ / し,みずか－ら / おの－ずから,oneself
色,しょく / しき,いろ,color
英,えい,はなぶさ,England
茶,ちゃ / さ,,tea
菜,さい,な,vegetable
薬,やく,くすり,medicine
親,しん,おや / みずか－ら,parent
計,けい,はか－る / はか－らう,measure
試,し,こころ－みる,test
説,せつ / ぜい,と－く,theory
貸,たい,か－す,lend
質,しつ / しち,ただ－す,quality
赤,せき / しゃく,あか / あか－い,red
走,そう,はし－る,run
起,き,お－きる / お－こす,wake up
転,てん,ころ－ぶ,revolve
軽,けい,かる－い,light
近,きん / こん,ちか－い,near
送,そう,おく－る,send
進,しん,すす－む / すす－める,advance
運,うん,はこ－ぶ,carry
遠,えん / おん,とお－い,far
都,と / つ,みやこ / すべ－て,metropolis
重,じゅう / ちょう,おも－い / かさ－ねる / かさ－なる,heavy
野,や,の,field
銀,ぎん,しろがね,silver
門,もん,かど,gates
開,かい,ひら－く / あ－く,open
院,いん,,institution
集,しゅう,あつ－まる,collect
青,せい / しょう,あお,blue
音,おん,ね / おと,sound
頭,とう / ず,あたま,head
題,だい,,topic
顔,がん,かお,face
風,ふう / ふ,かぜ / かざ,wind
飯,はん,めし / いい,meal
館,かん,やかた / たち / たて,public building
首,しゅ,くび,neck
験,けん / げん,しるし,test
鳥,ちょう,とり,bird
黒,こく,くろ,black
